Tournament,Timestamp Link,Team A,Team B,Timestamp,Posteam,Defteam,Event Type,IsFlash,Turnover Cause,Turnover Details,Off Bludgers,Def Bludgers,Scorer,Goal Type,Goal Location,Active Defenders,Shot Distance,Shot Location,Card,OffChasers,OffBeaters,OffSeeker,DefChasers,DefBeaters,DefSeeker,PlayerBeat,ActiveBeater
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1570s,UT,UTSA,00:26:10,UT,UTSA,Possession Change,,Tackle,,1,2,,,,P. Mosqueda,,,,"A. Lee, P. Mosqueda, Y. Singhania, I. Sueltenfuss","N. Salinas, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1571s,UT,UTSA,00:26:11,,,Stoppage,,,,,,,,,,,,"Yellow, UT P. Mosqueda",,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1621s,UT,UTSA,00:27:01,UTSA,UT,Possession Change,,Card effect,,2,1,,,,,,,,,,,"A. Lee, P. Mosqueda, Y. Singhania, I. Sueltenfuss","N. Salinas, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1621s,UT,UTSA,00:27:01,,,Play Resumes,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1643s,UT,UTSA,00:27:23,UTSA,UT,Goal Scored,,,,1,1,,,,I. Sueltenfuss,,,,,,,"A. Lee, P. Mosqueda, Y. Singhania, I. Sueltenfuss","N. Salinas, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1645s,UT,UTSA,00:27:25,,,Stoppage,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1746s,UT,UTSA,00:29:06,UTSA,UT,Goal Negated,,,,1,1,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1767s,UT,UTSA,00:29:27,,,Play Resumes,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1767s,UT,UTSA,00:29:27,UT,UTSA,Possession Change,,Card effect,,1,1,,,,,,,,"A. Lee, P. Mosqueda, Y. Singhania, I. Sueltenfuss","N. Salinas, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1816s,UT,UTSA,00:30:16,UTSA,UT,Possession Change,,Tackle,I. Sueltenfuss held onto ball too long,1,1,,,,,,,,,,,"A. Lee, P. Mosqueda, Y. Singhania, I. Sueltenfuss","N. Salinas, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1852s,UT,UTSA,00:30:52,UTSA,UT,Goal Scored,,,,2,1,9,Shot,Top,I. Sueltenfuss,Medium,Back,,,,,"A. Lee, P. Mosqueda, Y. Singhania, I. Sueltenfuss","N. Salinas, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1867s,UT,UTSA,00:31:07,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, D. Dao","N. Salinas, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1891s,UT,UTSA,00:31:31,UTSA,UT,Possession Change,TRUE,Ballcarrier Beat,,2,1,,,,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, D. Dao","N. Salinas, C. Milne",,P. Mosqueda,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1898s,UT,UTSA,00:31:38,UTSA,UT,Goal Scored,TRUE,,,2,0,14,Shot,Top,"P. Mosqueda, D. Dao",Medium,Front,,,,,"A. Lee, P. Mosqueda, A. Hewitt, D. Dao","N. Salinas, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1904s,UT,UTSA,00:31:44,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, D. Dao","N. Salinas, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1930s,UT,UTSA,00:32:10,UTSA,UT,Possession Change,,Ballcarrier Beat,Bad pass from P. Mosqueda,2,0,,,,,,,,,,,"A. Lee, P. Mosqueda, A. Hewitt, D. Dao","N. Salinas, C. Milne",,D. Dao,J. Tijerina
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1960s,UT,UTSA,00:32:40,,,Stoppage,,,,,,,,,,,,"Yellow, UT P. Mosqueda",,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=2003s,UT,UTSA,00:33:23,,,Play Resumes,,,,,,,,,,,,,,,,,,,,
